State	STATE MAMMAL 1	YEAR 1	SIZE 1	STATE MAMMAL 2	YEAR 2	SIZE 2	STATE MAMMAL 3	YEAR 3	SIZE 3	STATE MAMMAL 4	YEAR 4	SIZE 4
Alabama	American black bear	2006	BIG	West Indian manatee	2009	NONE						
Alaska	Bowhead whale	1983	NONE	Moose	1998	BIG						
Arizona	Ringtail	1986	SMALL									
Arkansas	White-tailed deer	1993	SMALL									
California	California grizzly bear	1953	BIG	Gray whale	1975	NONE						
Colorado	Rocky Mountain bighorn sheep	1961	BIG									
Connecticut	Sperm whale	1975	NONE									
Delaware	Gray fox	2010	SMALL									
District of Columbia	Big brown bat	2020	SMALL									
Florida	Florida panther	1982	BIG	Manatee	1975	NONE	Porpoise or dolphin	1975	NONE			
Georgia	White-tailed deer	2015	SMALL	Right whale	1985	NONE						
Hawaii	Hawaiian monk seal	2008	NONE	Humpback whale	1979	NONE	Hawaiian hoary bat	2015	SMALL			
Idaho												
Illinois	White-tailed deer	1980	SMALL									
Indiana												
Iowa	Muskrat	1900	SMALL									
Kansas	American bison	1955	BIG									
Kentucky	Gray squirrel	1968	SMALL									
Louisiana	Black bear	1992	BIG									
Maine	Moose	1979	BIG	Maine Coon Cat	1985	SMALL						
Maryland	Calico Cat	2001	SMALL	Chesapeake Bay Retriever	1900	SMALL						
Massachusetts	Right whale	1980	NONE	Tabby Cat	1988	SMALL	Ms. G	2014	SMALL	Morgan Horse	1970	BIG
Michigan	White-tailed deer	1997	SMALL									
Minnesota	White-tailed deer	1900	SMALL	Black bear	1900	BIG						
Mississippi	White-tailed deer	1974	SMALL	Red fox	1997	SMALL	Bottlenosed dolphin	1974	NONE			
Missouri	MissouriÂ mule	1995	BIG									
Montana	Grizzly bear	1983	BIG									
Nebraska	White-tailed deer	1981	SMALL									
Nevada	Desert bighorn sheep	1973	BIG									
New Hampshire	White-tailed deer	1983	SMALL	Bobcat	2015	SMALL						
New Jersey												
New Mexico	American black bear	1963	BIG									
New York	Beaver	1975	SMALL									
North Carolina	Eastern gray squirrel	1969	SMALL	Virginia opossum	2013	SMALL						
North Dakota												
Ohio	White-tailed deer	1988	SMALL									
Oklahoma	Buffalo	1972	BIG	Mexican free-tailed bat	2006	SMALL	Raccoon	1989	SMALL	White-tailed deer	1990	SMALL
Oregon	Beaver	1969	SMALL									
Pennsylvania	White-tailed deer	1959	SMALL									
Rhode Island	Harbor seal	2016	NONE									
South Carolina	White-tailed deer	1972	SMALL	Bottlenose dolphin	2009	NONE	Right whale	2009	NONE	Mule	2010	BIG
South Dakota	Coyote	1900	SMALL									
Tennessee	Raccoon	1971	SMALL									
Texas	Nine-banded armadillo	1995	SMALL	Texas Longhorn	1995	BIG	Mexican free-tailed bat	1995	SMALL			
Utah	Rocky Mountain elk	1971	BIG									
Vermont	Randall Lineback	2005	BIG									
Virginia	Virginia big-eared bat	2005	SMALL									
Washington	Orca	2005	NONE	Olympic marmot	2009	SMALL						
West Virginia	American black bear	1973	BIG									
Wisconsin	American badger	1957	BIG	White-tailed deer	1957	SMALL	Dairy cow	1971	BIG			
Wyoming	American bison	1985	BIG									